file_name,LENGTH_CENTRE,WIDTH_CENTRE,LENGTH_MINMAX,WIDTH_MINMAX,FIN_AREA,BODY_AREA,EYE_AREA,year,month,location,sample_index,sex
A2_Y3_M7_DSC_0171,19.299,4.1370000000000005,19.446,4.242,25.80732,61.666794,2.9970360000000005,3,7,C,2,F
A1_Y2_M1_DSC_2112,21.042,4.389,21.147,4.515000000000001,25.417476,71.86095,2.908395,2,1,L,1,F
A1_Y12_M1_DSC_7162,15.561,3.2955,15.678,3.627,19.363851,39.81331575,1.936233,12,1,C,1,M
A3_Y4_M7_DSC_4727,16.1335,3.5055,16.1335,3.5875000000000004,18.921336000000004,42.73816425,2.21513775,4,7,L,3,F
A3_Y16_M1_DSC_1380,15.168,3.392,15.552,3.488,17.971456,38.597888,2.240768,16,1,C,3,M
A1_Y6_M1_DSC_0222,27.9,7.0,28.08,7.140000000000001,62.4068,140.4128,4.9024,6,1,T,1,F
A3_Y4_M7_DSC_4525,18.0675,3.9825,18.0675,4.1625,32.1944625,55.9456875,2.73830625,4,7,C,3,M
A3_Y14_M7_DSC_4208,20.033,4.901,20.748,5.005,34.664773,73.061235,3.2167459999999997,14,7,T,3,F
A2_Y6_M7_DSC_0194,21.333,4.8945,21.567,4.9725,39.30149925,78.901875,3.35646675,6,7,U,2,F
A3_Y8_M1_DSC_4439,23.787,5.697,25.137,6.102,44.253215999999995,109.993707,5.375646,8,1,U,3,F
A1_Y4_M7_DSC_4473,17.262,4.284000000000001,17.808,4.41,31.872393,55.80855,2.3734620000000004,4,7,T,1,M
A1_Y3_M1_DSC_7743,20.454,4.452,20.475,4.5360000000000005,29.634759000000003,69.78428100000001,3.925341,3,1,U,1,F
A3_Y5_M7_DSC_0097,15.713,3.61,15.979,3.8,23.792427,44.788187,2.07936,5,7,U,3,M
A2_Y10_M1_DSC_2206,19.908,4.3260000000000005,20.188,4.564,27.078772000000004,66.429496,3.2081280000000003,10,1,C,2,F
A1_Y7_M7_DSC_8973,22.896,5.508,23.2335,5.6295,42.92516025,96.4616445,3.840372,7,7,U,1,F
A1_Y15_M1_DSC_3261,20.976,4.928,21.44,5.168,39.682815999999995,82.959104,3.065344,15,1,C,1,M
A1_Y11_M7_DSC_8986,18.522,4.522,19.138,4.8580000000000005,24.64014,66.00476400000001,2.155412,11,7,T,1,M
A3_Y9_M1_DSC_7544,23.4225,6.318,25.677,6.6555,40.744356749999994,115.13151675,4.2365835,9,1,T,3,F
A3_Y15_M7_DSC_6686,23.12,5.5360000000000005,23.696,5.872,28.87296,93.15968,3.849728,15,7,C,3,F
A1_Y1_M7_DSC_4052,24.464,5.2139999999999995,24.75,5.279999999999999,42.853843999999995,98.80714799999998,3.3347599999999997,1,7,U,1,F
A3_Y6_M1_DSC_0003,18.58,4.0,18.74,4.24,31.5016,58.525200000000005,2.4612000000000003,6,1,U,3,M
A2_Y2_M7_DSC_3768,16.761,3.848,17.057,4.0885,22.48137575,49.71318149999999,2.6072605,2,7,U,2,F
A3_Y15_M1_DSC_8684,21.96,4.905,22.02,4.95,36.728325,78.79814999999999,3.707325,15,1,L,3,F
A3_Y5_M7_DSC_0109,20.007,4.617,20.292,4.826,31.635874,71.318077,3.144671,5,7,T,3,F
A3_Y14_M1_DSC_8030,22.575,5.625,23.28,6.0,43.5762,98.4915,3.58695,14,1,U,3,F
A2_Y4_M1_DSC_8667,18.722,4.6419999999999995,19.183999999999997,4.664,30.296463999999997,66.06551599999999,2.9296519999999995,4,1,T,2,M
A3_Y10_M1_DSC_9687,26.568,6.885,27.702,7.236,43.459335,135.49922999999998,5.634441,10,1,C,3,F
A1_Y14_M7_DSC_4696,16.939,4.069,17.901,4.29,23.544742,56.220046999999994,2.2313069999999997,14,7,U,1,F
A1_Y3_M7_DSC_5135,22.66,5.39,23.452,5.72,45.05265599999999,96.231784,3.151324,3,7,T,1,F
A1_Y16_M1_DSC_3135,16.269000000000002,3.8445,16.9785,4.0425,20.34932625,49.12315650000001,2.2950675000000005,16,1,U,1,M
A1_Y7_M1_DSC_0180,22.154,4.883,22.363,5.149,38.921576,82.407636,3.534551,7,1,C,1,F
A1_Y15_M7_DSC_6769,13.1905,2.604,13.5625,3.038,9.55594375,29.827277749999997,1.3982549999999998,15,7,T,1,F
A2_Y1_M7_DSC_4421,22.005,5.5575,22.68,5.9399999999999995,41.6674125,91.6596,3.4662937499999997,1,7,U,2,F
A1_Y2_M1_DSC_2566,17.766000000000002,3.864,18.417,4.494000000000001,16.773876,60.878286,2.4572520000000004,2,1,U,1,F
A1_Y10_M1_DSC_9653,24.7225,5.5825000000000005,25.465,6.0775,36.647875,110.39359375,3.61714375,10,1,C,1,F
A3_Y14_M1_DSC_4718,19.8795,4.6835,19.9085,4.814,33.57671475,67.024336,3.5147492500000004,14,1,L,3,F
A1_Y12_M1_DSC_5672,18.496,4.386,19.023,4.6240000000000006,22.904695000000004,62.004372,2.9639840000000004,12,1,L,1,F
A1_Y9_M7_DSC_9489,22.828,5.434,23.296,5.6419999999999995,35.266244,93.1697,2.833116,9,7,C,1,F
A2_Y10_M1_DSC_0489,18.004,3.948,18.34,4.284,25.55448,56.777280000000005,2.77144,10,1,U,2,M
A1_Y9_M7_DSC_0308,19.136,4.484999999999999,19.734,4.693,32.834672,66.532089,2.5569699999999997,9,7,L,1,F
A1_Y9_M1_DSC_8141,25.5925,6.133500000000001,25.8535,6.496,47.787302,119.22835975,4.101557000000001,9,1,U,1,F
A1_Y3_M1_DSC_6837,26.418000000000003,6.972,27.3,7.140000000000001,63.546336,137.928042,4.516281,3,1,C,1,F
A3_Y6_M7_DSC_0089,22.57,5.3465,23.5505,5.476,40.08431999999999,91.74250825,4.136433499999999,6,7,L,3,F
A2_Y1_M1_DSC_6393,26.46,6.2860000000000005,27.062,6.482,23.736776000000003,124.753608,4.398436,1,1,L,2,F
A3_Y7_M7_DSC_7998,24.381,5.9265,24.7725,5.9805,48.901684499999995,104.93061975,4.084040249999999,7,7,L,3,F
A2_Y0_M7_DSC_35932050,17.644,3.674,18.106,4.069999999999999,11.840576,55.62660399999999,2.6353799999999996,0,7,U,2,M
A3_Y1_M7_DSC_3633,26.874999999999996,6.707999999999999,27.476999999999997,6.9014999999999995,44.25350374999999,136.50566074999998,4.051621249999999,1,7,C,3,F
A1_Y14_M7_DSC_6727,15.93,3.6585,16.1325,3.861,25.05445425,46.1322135,2.1465405,14,7,C,1,M
A3_Y3_M7_DSC_0093,16.974,3.526,17.0355,3.6285,20.833473500000004,44.946578,2.30843325,3,7,L,3,F
A3_Y14_M1_DSC_4281,23.345,5.771,23.823500000000003,6.119000000000001,43.12458775,98.148064,4.6116235,14,1,C,3,F
A2_Y11_M1_DSC_1848,14.63,3.3275,14.7675,3.355,13.3463,36.76358125,1.824075,11,1,L,2,F
A1_Y3_M1_DSC_6821,26.943,6.846,27.174000000000003,6.972,57.598128,151.822629,4.355316,3,1,T,1,F
A2_Y9_M1_DSC_8027,17.893,4.118,18.1105,4.495,21.48355525,57.89696300000001,2.3217907500000003,9,1,U,2,M
A3_Y2_M7_DSC_3299,17.892,4.41,18.207,4.578,31.684968,59.209101,2.8321020000000003,2,7,T,3,M
A3_Y11_M1_DSC_1929,14.2695,3.105,14.2965,3.186,12.28091625,33.494634,1.99982925,11,1,L,3,F
A2_Y2_M7_DSC_2758,18.63,4.32,18.7425,4.365,26.2065375,60.435112499999995,2.7894375,2,7,T,2,F
A2_Y12_M1_DSC_5470,23.154,5.95,23.783,6.001,37.58387200000001,106.808042,3.0261190000000004,12,1,T,2,F
A3_Y11_M7_DSC_6113,24.2575,6.8355,25.017,6.913,36.54947275,122.98853975,3.91199075,11,7,C,3,F
A3_Y3_M1_DSC_6816,19.866,5.009499999999999,20.382,5.1815,40.87676749999999,75.5214805,3.0342089999999997,3,1,T,3,M
A1_Y16_M1_DSC_1481,16.371000000000002,3.4680000000000004,16.762,3.587,23.291088,44.51178,2.316335,16,1,C,1,M
A2_Y4_M7_DSC_4598,19.58,4.994,20.151999999999997,5.148,34.913824,74.31819999999999,3.2471559999999995,4,7,C,2,F
A1_Y1_M1_DSC_6633,16.576,4.088,16.982,4.242,23.467276,49.634060000000005,2.5570160000000004,1,1,L,1,M
A3_Y15_M7_DSC_5063,17.762500000000003,4.4975000000000005,19.0575,4.9,38.52104375,63.92509375000001,3.0174812500000003,15,7,T,3,M
A3_Y10_M7_DSC_1427,22.272,5.452,22.475,5.684,46.68391,90.804452,3.76768,10,7,C,3,F
A2_Y7_M7_DSC_7639,16.281,3.7935,16.6995,3.969,28.95934275,48.645805499999994,2.2901534999999997,7,7,L,2,M
A2_Y9_M7_DSC_0864,26.468,6.786,27.352,6.89,55.62736399999999,133.33897199999998,4.767828,9,7,U,2,F
A2_Y10_M7_DSC_1797,22.3155,5.757000000000001,23.484,5.899500000000001,41.2834185,98.95398075,3.089799,10,7,T,2,F
A2_Y4_M7_DSC_4629,22.827,5.649,23.226000000000003,5.859,47.792934,95.941314,3.502422,4,7,T,2,F
A3_Y16_M1_DSC_9964,16.929,3.8205,17.576999999999998,3.969,23.248903499999997,50.46903449999999,2.54220525,16,1,U,3,F
A3_Y7_M7_DSC_6883,20.736,5.049,21.5865,5.2785,44.13785175,82.55104874999999,3.4421557499999995,7,7,T,3,M
A1_Y8_M7_DSC_8093,22.761,5.832,23.976,5.9399999999999995,34.798815,100.965771,3.358503,8,7,U,1,F
A2_Y8_M7_DSC_8281,15.3435,3.2595,15.423,3.4715,18.15246025,39.35479225,1.94312575,8,7,U,2,F
A1_Y8_M1_DSC_0423,16.74,3.6855,16.794,3.9015,28.86202125,48.3111945,2.3410012499999997,8,1,U,1,M
A1_Y7_M1_DSC_2418,17.037,3.699,17.0775,4.0365,27.13064625,48.84792074999999,2.41098525,7,1,T,1,M
A3_Y10_M1_DSC_2878,13.944,3.0380000000000003,14.056,3.136,15.956948000000002,32.643212000000005,1.788304,10,1,L,3,M
